bin,python,vulkan,diff,rel_diff
307,4.3075836023e-03,4.3075600000e-03,2.3602260685e-08,5.4792344987e-06
308,5.2898513492e-03,5.2891700000e-03,6.8134916503e-07,1.2880308348e-04
309,6.1749341347e-03,6.2533300000e-03,-7.8395865273e-05,-1.2695822101e-02
310,7.2839998752e-03,7.3717600000e-03,-8.7760124764e-05,-1.2048342429e-02
311,8.3957267684e-03,8.4840000000e-03,-8.8273231569e-05,-1.0514066738e-02
312,9.4672343875e-03,9.4681500000e-03,-9.1561250084e-07,-9.6713830382e-05
313,1.0452990620e-02,1.0453200000e-02,-2.0937971545e-07,-2.0030603971e-05
314,1.1306691993e-02,1.1307000000e-02,-3.0800699242e-07,-2.7241123450e-05
315,1.1809203960e-02,1.2087500000e-02,-2.7829604023e-04,-2.3566028765e-02
316,1.2424796611e-02,1.2653800000e-02,-2.2900338887e-04,-1.8431157951e-02
317,1.2818759880e-02,1.2818800000e-02,-4.0119999906e-08,-3.1297879263e-06
318,1.2958202759e-02,1.2958200000e-02,2.7594198870e-09,2.1294773188e-07
319,1.2629669598e-02,1.2987300000e-02,-3.5763040152e-04,-2.8316687044e-02
320,1.2424266593e-02,1.2424600000e-02,-3.3340678311e-07,-2.6835127900e-05
321,1.1932432061e-02,1.1932600000e-02,-1.6793894261e-07,-1.4074158708e-05
322,1.0914843544e-02,1.1287100000e-02,-3.7225645645e-04,-3.4105523816e-02
323,1.0103006614e-02,1.0103400000e-02,-3.9338551061e-07,-3.8937469368e-05
